gene,NPC_prevalence,OPC_prevalence,AC_prevalence,MES_prevalence,SRI,worst_state,state_imbalance,wang_NPC,wang_OPC,wang_AC,wang_MES,wang_SRI,wang_worst_state,neftel_cat,wang_cat
TP53,0.368,0.381,0.333,0.333,0.333,AC,0.048,0.591,0.5,0.591,0.545,0.5,OPC,low,moderate
SYNE2,0.368,0.476,0.286,0.286,0.286,AC,0.19,0.818,0.727,0.727,0.727,0.727,OPC,low,high
CDYL2,0.053,0.0,0.0,0.0,0.0,OPC,0.053,0.0,0.0,0.0,0.091,0.0,NPC,low,low
ANKRD53,0.053,0.0,0.0,0.0,0.0,OPC,0.053,0.0,0.0,0.0,0.0,0.0,NPC,low,low
GABRB2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.045,0.0,0.0,0.0,NPC,low,low
CNTNAP3,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.091,0.0,0.0,NPC,low,low
KIT,0.0,0.0,0.0,0.095,0.0,NPC,0.095,0.182,0.182,0.136,0.136,0.136,AC,low,low
ZNF513,0.158,0.143,0.095,0.048,0.048,MES,0.11,0.045,0.136,0.182,0.091,0.045,NPC,low,low
SLC22A3,0.053,0.0,0.048,0.0,0.0,OPC,0.053,0.0,0.0,0.0,0.0,0.0,NPC,low,low
COL6A3,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.091,0.0,0.273,0.0,NPC,low,low
RB1,0.526,0.619,0.667,0.857,0.526,NPC,0.331,0.909,0.909,0.909,0.864,0.864,MES,moderate,high
CEP41,0.421,0.524,0.333,0.19,0.19,MES,0.333,0.545,0.818,0.727,0.545,0.545,NPC,low,moderate
ARMCX4,0.053,0.0,0.0,0.0,0.0,OPC,0.053,0.5,0.545,0.409,0.227,0.227,MES,low,low
SGPP2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.182,0.0,NPC,low,low
ADAMTS12,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.227,0.0,NPC,low,low
SMC1A,0.421,0.476,0.381,0.524,0.381,AC,0.143,0.864,0.864,0.818,0.818,0.818,AC,low,high
LRSAM1,0.053,0.095,0.143,0.048,0.048,MES,0.095,0.0,0.0,0.045,0.0,0.0,NPC,low,low
NF1,0.579,0.524,0.333,0.381,0.333,AC,0.246,0.727,0.864,0.864,0.818,0.727,NPC,low,high
ALDH1L1,0.105,0.143,0.429,0.0,0.0,MES,0.429,0.091,0.273,0.636,0.091,0.091,NPC,low,low
CILP2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
ZBTB46,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.045,0.0,0.0,0.091,0.0,OPC,low,low
USP24,0.158,0.19,0.238,0.19,0.158,NPC,0.08,0.409,0.5,0.409,0.455,0.409,NPC,low,moderate
IGF2BP1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
ZNF562,0.526,0.476,0.476,0.381,0.381,MES,0.145,0.864,0.727,0.818,0.864,0.727,OPC,low,high
ANKAR,0.105,0.095,0.0,0.0,0.0,AC,0.105,0.227,0.227,0.318,0.182,0.182,MES,low,low
ABCA9,0.0,0.048,0.0,0.0,0.0,NPC,0.048,0.0,0.045,0.0,0.045,0.0,NPC,low,low
COL9A3,0.368,0.667,0.238,0.238,0.238,AC,0.429,0.545,0.773,0.636,0.318,0.318,MES,low,low
MAN2A1,0.211,0.381,0.429,0.381,0.211,NPC,0.218,0.5,0.727,0.5,0.864,0.5,NPC,low,moderate
STRADB,0.368,0.476,0.571,0.476,0.368,NPC,0.203,0.409,0.636,0.636,0.636,0.409,NPC,low,moderate
TEP1,0.0,0.048,0.0,0.0,0.0,NPC,0.048,0.045,0.045,0.136,0.091,0.045,NPC,low,low
RAD21,0.737,0.762,0.714,0.762,0.714,AC,0.048,0.773,0.864,0.909,0.864,0.773,NPC,high,high
MS4A14,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.045,0.0,0.0,0.0,0.0,OPC,low,low
