"gene","NPC_prevalence","OPC_prevalence","AC_prevalence","MES_prevalence","SRI","worst_state","state_imbalance"
"TP53",0.368,0.381,0.333,0.333,0.333,"AC",0.048
"SYNE2",0.368,0.476,0.286,0.286,0.286,"AC",0.19
"CDYL2",0.053,0,0,0,0,"OPC",0.053
"ANKRD53",0.053,0,0,0,0,"OPC",0.053
"GABRB2",0,0,0,0,0,"NPC",0
"CNTNAP3",0,0,0,0,0,"NPC",0
"KIT",0,0,0,0.095,0,"NPC",0.095
"ZNF513",0.158,0.143,0.095,0.048,0.048,"MES",0.11
"SLC22A3",0.053,0,0.048,0,0,"OPC",0.053
"COL6A3",0,0,0,0,0,"NPC",0
"RB1",0.526,0.619,0.667,0.857,0.526,"NPC",0.331
"CEP41",0.421,0.524,0.333,0.19,0.19,"MES",0.333
"ARMCX4",0.053,0,0,0,0,"OPC",0.053
"SGPP2",0,0,0,0,0,"NPC",0
"ADAMTS12",0,0,0,0,0,"NPC",0
"SMC1A",0.421,0.476,0.381,0.524,0.381,"AC",0.143
"LRSAM1",0.053,0.095,0.143,0.048,0.048,"MES",0.095
"NF1",0.579,0.524,0.333,0.381,0.333,"AC",0.246
"ALDH1L1",0.105,0.143,0.429,0,0,"MES",0.429
"CILP2",0,0,0,0,0,"NPC",0
"ZBTB46",0,0,0,0,0,"NPC",0
"USP24",0.158,0.19,0.238,0.19,0.158,"NPC",0.08
"IGF2BP1",0,0,0,0,0,"NPC",0
"ZNF562",0.526,0.476,0.476,0.381,0.381,"MES",0.145
"ANKAR",0.105,0.095,0,0,0,"AC",0.105
"ABCA9",0,0.048,0,0,0,"NPC",0.048
"COL9A3",0.368,0.667,0.238,0.238,0.238,"AC",0.429
"MAN2A1",0.211,0.381,0.429,0.381,0.211,"NPC",0.218
"STRADB",0.368,0.476,0.571,0.476,0.368,"NPC",0.203
"TEP1",0,0.048,0,0,0,"NPC",0.048
"RAD21",0.737,0.762,0.714,0.762,0.714,"AC",0.048
"MS4A14",0,0,0,0,0,"NPC",0
"ABCG1",0.263,0.286,0.381,0.333,0.263,"NPC",0.118
"DSG3",0,0,0,0,0,"NPC",0
"FCRL3",0,0,0,0,0,"NPC",0
"TPO",0,0,0,0,0,"NPC",0
"CA5A",0.105,0,0.095,0.095,0,"OPC",0.105
"POLR1A",0.105,0.143,0.095,0.048,0.048,"MES",0.095
"SLC35F5",0.211,0.429,0.333,0.333,0.211,"NPC",0.218
"CD96",0.053,0.095,0.048,0.048,0.048,"AC",0.048
"XRN1",0.263,0.333,0.333,0.238,0.238,"MES",0.095
"PDZD2",0,0.19,0.143,0,0,"NPC",0.19
"PDE1C",0,0.143,0.095,0,0,"NPC",0.143
"AGBL3",0,0.048,0,0,0,"NPC",0.048
"ABCA2",0.105,0.524,0.333,0.143,0.105,"NPC",0.419
"FAM118B",0.368,0.381,0.333,0.286,0.286,"MES",0.095
"SUGT1",0.737,0.762,0.619,0.762,0.619,"AC",0.143
"XYLT1",0,0.095,0,0.048,0,"NPC",0.095
"TAT",0,0,0,0,0,"NPC",0
"PEMT",0.474,0.429,0.476,0.381,0.381,"MES",0.095
"MIEF2",0.158,0.095,0.048,0.048,0.048,"AC",0.11
"EVPL",0,0,0,0,0,"NPC",0
"TJP3",0,0,0,0,0,"NPC",0
"LILRB5",0,0,0,0.048,0,"NPC",0.048
"NLRP2",0,0,0.048,0,0,"NPC",0.048
"ZIM2",0,0,0,0,0,"NPC",0
"MGME1",0.316,0.429,0.333,0.333,0.316,"NPC",0.113
"EMILIN3",0.105,0.143,0.095,0.048,0.048,"MES",0.095
"CELSR1",0,0,0.048,0.048,0,"NPC",0.048
"USP51",0.053,0.048,0,0,0,"AC",0.053
"ABCB6",0,0,0,0,0,"NPC",0
"AHNAK2",0.053,0,0.048,0.048,0,"OPC",0.053
"DLEC1",0,0.048,0,0,0,"NPC",0.048
"HEPH",0,0,0,0,0,"NPC",0
"MB",0,0,0,0,0,"NPC",0
"MTMR6",0.474,0.476,0.381,0.476,0.381,"AC",0.095
"NBAS",0.316,0.238,0.238,0.143,0.143,"MES",0.173
"PRPF39",0.263,0.333,0.143,0.095,0.095,"MES",0.238
"ST3GAL5",0.421,0.571,0.524,0.476,0.421,"NPC",0.15
"TMEM150B",0.053,0,0,0,0,"OPC",0.053
"TNK2",0.421,0.524,0.286,0.286,0.286,"AC",0.238
"USH2A",0,0,0,0,0,"NPC",0
"ZNF215",0,0,0,0,0,"NPC",0
"ADNP",0.421,0.429,0.333,0.381,0.333,"AC",0.095
"ASIC1",0.316,0.19,0.048,0,0,"MES",0.316
"ASMTL",0.474,0.381,0.333,0.429,0.333,"AC",0.14
"ATP8A2",0,0,0,0,0,"NPC",0
"CACNA1G",0.053,0,0,0,0,"OPC",0.053
"CDKN1B",0.526,0.571,0.429,0.571,0.429,"AC",0.143
"COL1A2",0.053,0.095,0.143,0.143,0.053,"NPC",0.09
"COL5A1",0,0,0,0,0,"NPC",0
"DAW1",0,0,0,0,0,"NPC",0
"DNASE2",0.579,0.571,0.81,0.81,0.571,"OPC",0.238
"DPH2",0.368,0.381,0.333,0.19,0.19,"MES",0.19
"ECT2",0.105,0.286,0.048,0.048,0.048,"AC",0.238
"GALNT15",0,0.143,0.19,0.048,0,"NPC",0.19
"GEMIN5",0.211,0.286,0.048,0.048,0.048,"AC",0.238
"GRIN3B",0,0,0,0,0,"NPC",0
"INPP5E",0.211,0.095,0.095,0.048,0.048,"MES",0.163
"LAMA4",0.053,0.19,0.143,0.048,0.048,"MES",0.143
"LRRK1",0,0,0,0,0,"NPC",0
"MCM6",0.263,0.333,0.143,0.19,0.143,"AC",0.19
"MEGF6",0,0,0,0,0,"NPC",0
"NSUN6",0.211,0.238,0.19,0.19,0.19,"AC",0.048
"NTPCR",0.684,0.762,0.619,0.714,0.619,"AC",0.143
"PCDHGA2",0,0,0,0,0,"NPC",0
"PLCH1",0,0,0,0,0,"NPC",0
