"gene","wang_NPC","wang_OPC","wang_AC","wang_MES","wang_SRI","wang_worst_state"
"ABCA2",0.182,0.591,0.545,0.273,0.182,"NPC"
"ABCA9",0,0.045,0,0.045,0,"NPC"
"ABCB6",0.227,0.273,0.409,0.409,0.227,"NPC"
"ABCC11",0,0,0,0,0,"NPC"
"ABCG1",0.182,0.182,0.091,0.136,0.091,"AC"
"ACTN1",0.455,0.455,0.727,0.818,0.455,"NPC"
"ACTR1B",0.545,0.773,0.636,0.727,0.545,"NPC"
"ADAMTS12",0,0,0,0.227,0,"NPC"
"ADGRV1",0.182,0.364,0.545,0.182,0.182,"NPC"
"ADNP",0.864,0.818,0.864,0.864,0.818,"OPC"
"AGBL3",0.091,0.182,0.182,0,0,"MES"
"AHI1",0.818,0.864,0.818,0.773,0.773,"MES"
"AHNAK2",0,0,0.091,0.182,0,"NPC"
"ALDH1L1",0.091,0.273,0.636,0.091,0.091,"NPC"
"ANKAR",0.227,0.227,0.318,0.182,0.182,"MES"
"ANKHD1",0.818,0.682,0.727,0.545,0.545,"MES"
"ANKRD53",0,0,0,0,0,"NPC"
"ANKS6",0.091,0.227,0.091,0,0,"MES"
"ANOS1",0,0.045,0.227,0,0,"NPC"
"ANTXR2",0.227,0.318,0.182,0.5,0.182,"AC"
"ARID3A",0.227,0.136,0.091,0.364,0.091,"AC"
"ARMCX4",0.5,0.545,0.409,0.227,0.227,"MES"
"ASIC1",0.273,0.409,0.364,0.091,0.091,"MES"
"ASMTL",0.455,0.5,0.455,0.591,0.455,"NPC"
"ASPM",0.455,0.545,0.273,0.273,0.273,"AC"
"ATP8A2",0,0,0,0,0,"NPC"
"ATXN1",0.773,0.818,0.773,0.818,0.773,"NPC"
"AXL",0.273,0.182,0.5,0.636,0.182,"OPC"
"B4GAT1",0.545,0.818,0.818,0.727,0.545,"NPC"
"BOD1L1",0.909,0.864,0.909,0.955,0.864,"OPC"
"BSG",0.864,0.864,1,0.955,0.864,"NPC"
"BTBD3",0.5,0.818,0.773,0.682,0.5,"NPC"
"BTBD8",0.273,0.227,0.182,0,0,"MES"
"CA5A",0,0,0,0.045,0,"NPC"
"CACNA1G",0,0,0,0,0,"NPC"
"CALM3",0.773,0.909,0.955,0.864,0.773,"NPC"
"CAMSAP1",0.5,0.591,0.5,0.545,0.5,"NPC"
"CAND1",0.864,0.818,0.818,0.773,0.773,"MES"
"CAP2",0.364,0.409,0.545,0.318,0.318,"MES"
"CBL",0.727,0.682,0.727,0.682,0.682,"OPC"
"CC2D1B",0.045,0.136,0.182,0.136,0.045,"NPC"
"CD96",0,0.045,0,0.045,0,"NPC"
"CDCP1",0,0,0,0.091,0,"NPC"
"CDKN1B",0.909,0.864,0.818,0.727,0.727,"MES"
"CDYL2",0,0,0,0.091,0,"NPC"
"CELSR1",0,0,0.045,0.045,0,"NPC"
"CEP41",0.545,0.818,0.727,0.545,0.545,"NPC"
"CFAP46",0,0,0.136,0,0,"NPC"
"CHD7",0.909,0.818,0.864,0.773,0.773,"MES"
"CHMP7",0.455,0.5,0.455,0.636,0.455,"NPC"
"CILP2",0,0,0,0,0,"NPC"
"CLEC11A",0.636,0.682,0.682,0.591,0.591,"MES"
"CLEC19A",0.045,0,0,0,0,"OPC"
"CLSTN3",0.136,0.136,0.136,0.136,0.136,"NPC"
"CNTNAP2",0.045,0.136,0,0,0,"AC"
"CNTNAP3",0,0,0.091,0,0,"NPC"
"COG6",0.318,0.5,0.409,0.545,0.318,"NPC"
"COL1A2",0.364,0.364,0.5,0.545,0.364,"NPC"
"COL5A1",0.045,0.091,0.091,0.364,0.045,"NPC"
"COL6A3",0,0.091,0,0.273,0,"NPC"
"COL9A3",0.545,0.773,0.636,0.318,0.318,"MES"
"CROCC",0,0,0.045,0,0,"NPC"
"CYSLTR2",0,0,0,0.091,0,"NPC"
"DAW1",0,0,0,0,0,"NPC"
"DBNL",0.727,0.818,0.909,0.818,0.727,"NPC"
"DDX3X",1,0.909,1,1,0.909,"OPC"
"DENND6B",0,0.045,0.091,0,0,"NPC"
"DET1",0,0.045,0,0.045,0,"NPC"
"DIS3",0.727,0.818,0.773,0.818,0.727,"NPC"
"DLEC1",0,0,0.045,0,0,"NPC"
"DNASE2",0.636,0.727,0.818,0.773,0.636,"NPC"
